bad,good,id,name
47527,490272,570,Dota 2
84109,1146451,730,Counter-Strike: Global Offensive
2565,78316,49520,Borderlands 2
1050,29295,322330,Don't Starve Together
50151,154605,218620,PAYDAY 2
12070,49928,377160,Fallout 4
14894,182728,304930,Unturned
607,1052,261760,Lichdom: Battlemage
25,253,371180,Super 3-D Noah's Ark
47,15,457930,Starship: Nova Strike
3790,126403,550,Left 4 Dead 2
22,59,369040,Yargis - Space Melee
1448,29199,200510,XCOM: Enemy Unknown
137,983,278460,Skyborn
84,170,398680,Ace of Words
81,45,378100,Nyctophobia
307,362,286120,QuestRun
909,5349,228300,Remember Me
102,222,328940,The Deer God
73,1974,347620,Gaokao.Love.100Days
1548,4449,287290,Resident Evil Revelations 2 \/ Biohazard Revelations 2
37,85,422250,ShipLord
111,165,410560,Trinium Wars
562,28008,238460,BattleBlock Theater
804,67314,620,Portal 2
215,531,335430,Grimoire: Manastorm
18402,95174,271590,Grand Theft Auto V
635,1856,297020,The Culling Of The Cows
8,211,80360,Blackwell Deception
600,23123,213670,South Park\u2122: The Stick of Truth\u2122
118,1116,360640,12 Labours of Hercules II: The Cretan Bull
890,4337,254700,resident evil 4 \/ biohazard 4
768,3849,21690,Resident Evil 5 \/ Biohazard 5
283,1844,218740,Pid 
5429,8676,233250,Planetary Annihilation
1475,2751,299460,Woodle Tree Adventures
537,3064,222480,Resident Evil Revelations \/ Biohazard Revelations
825,13580,8980,Borderlands
85,186,294020,Merchants of Kaidan
38,163,366760,Adorables
2053,30982,24240,PAYDAY: The Heist
1001,6641,45760,Ultra Street Fighter IV
65,194,434420,The Chosen RPG
120,825,275470,Chip
634,499,220660,StarDrive
61,134,282880,FaeVerse Alchemy
704,553,292380,Racer 8
283,2841,92800,SpaceChem
322,1803,234390,Teleglitch: Die More Edition
6025,19879,104900,ORION: Prelude
13,91,341090,On A Roll 3D
58,145,397980,Invasion
165,246,209330,A Valley Without Wind
380,213,375460,16bit Trader
314,346,354850,Why So Evil 2: Dystopia
252,1509,203630,Warlock - Master of the Arcane
28,293,322290,Gurumin: A Monstrous Adventure
96,315,323720,Decay - The Mare
246,52,290650,Time Ramesside (A New Reckoning)
393,7398,220440,DmC Devil May Cry
2264,441,292630,Uriel's Chasm
65,413,357780,Defend Your Life
180,303,428430,Endorlight
28,233,336420,Bloodsports.TV
149,313,211050,Battle vs Chess
73,338,282100,Fearless Fantasy
158,67,383030,Medieval Mercs
42,123,449220,A grande bagun\u00e7a espacial - The big space mess
81,68,371390,Flix The Flea
455,518,400250,Heaven Island - VR MMO
418,421,368900,Brilliant Bob
15473,337622,440,Team Fortress 2
72,808,230820,The Night of the Rabbit
409,790,343360,Particula
194,3370,382490,Relic Hunters Zero
79,191,338050,Anoxemia
201,448,296050,Battlepaths
2879,8311,34900,Bad Rats
49,1092,296490,GemCraft - Chasing Shadows
37,157,365810,FLYING TIGERS: SHADOWS OVER CHINA
29,63,373360,Cast of the Seven Godsends
656,7236,238010,Deus Ex: Human Revolution - Director's Cut
522,605,331710,Why So Evil
1288,17260,35450,Rising Storm\/Red Orchestra 2 Multiplayer
188,178,399790,Destiny Warriors
605,974,226720,Lost Planet 3
62,55,372820,Shot In The Dark
49,75,317440,Quantum Rush Champions
86,377,45500,Clickr
83,155,96200,Steel Storm: Burning Retribution
1573,15698,203140,Hitman: Absolution
196,1295,235210,Strider
1414,6711,262410,World of Guns: Gun Disassembly
239,412,355150,Gravilon
2646,7964,238430,Contagion
35,6,375620,CortexGear:AngryDroids
816,372,388870,Devils Share
353,579,234490,Rush Bros
64,85,283390,Incoming Forces
590,3162,327410,A Bird Story
160,317,360380,Tiny Bridge: Ratventure
157,549,329380,Stealth Inc 2
34,353,300300,Ichi
215,540,283230,Spoiler Alert
55,331,351490,Intergalactic Bubbles
39,364,228960,Skulls of the Shogun
179,152,396160,Secret Of Magia
1099,717,373110,Temper Tantrum
15,159,341550,Super Cyborg
109,202,253940,Septerra Core
53,128,357280,Alter World
181,367,367600,Skyshine's BEDLAM
695,1142,293180,Overcast - Walden and the Werewolf
99,154,375710,The Adventures of Mr. Bobley
29,171,339160,Tales of the Orient: The Rising Sun
41,157,397500,Labyronia RPG 2
95,78,410590,Fiends of Imprisonment
48,157,407230,Legend of Mysteria
46,145,267980,Hostile Waters: Antaeus Rising
78,531,285840,Enemy Mind
279,4099,263980,Out There Somewhere
145,405,370510,Marble Mayhem: Fragile Ball
256,797,264240,CONSORTIUM
249,247,395980,Break Into Zatwor
827,1328,277950,Deadbreed\u00ae
566,3084,315430,Polarity
266,532,400240,The Deer
460,803,92100,DETOUR
136,362,391260,Labyronia RPG
447,517,385200,Absconding Zatwor
139,493,238910,Bionic Dues
125,428,397620,GooCubelets
736,3373,218640,Lucius
418,2381,314020,Morphopolis
4,85,326120,Horizon Shift
170,521,271570,Space Farmers
239,659,341500,Camera Obscura
52,241,251530,Anomaly Korea
615,277,364690,SUPER DISTRO
2,8,336710,Supreme League of Patriots Issue 2: Patriot Frames
20,32,331760,Supreme League of Patriots Issue 1: A Patriot Is Born
3,9,336730,Supreme League of Patriots Issue 3: Ice Cold in Ellis
73,190,321150,Melissa K. and the Heart of Gold Collector's Edition
593,4278,2400,The Ship
1619,9384,202090,Magicka: Wizard Wars
600,3112,263060,Blockstorm
40,17,457940,Krog Wars
20,97,304500,Rooms: The Main Building
2184,50678,203160,Tomb Raider
467,2960,104200,BEEP
15,91,294460,Fenix Rage
209,867,306040,The Howler
33,606,350740,The Bug Butcher
19,161,334560,Square Heroes
155,171,299260,Commando Jack
29,7,397700,Urizen Shadows of the Cold
10,247,405950,Lowglow
10,137,388420,In Between
380,1103,214360,Tower Wars
279,125,339470,Retention
710,313,314700,Forsaken Uprising
498,354,357900,Make it indie!
1818,897,344040,Voxelized
226,772,341310,Greyfox
17,45,306350,Slipstream 5000
27,22,433210,Rhino's Rage
27,78,434610,Forbidden planet
1268,673,329950,The Slaughtering Grounds
42,68,345220,Agent Awesome
377,794,244590,Epigenesis
2950,4058,303390,Dead Bits
744,1467,1930,Two Worlds: Epic Edition
104,222,274620,Skara - The Blade Remains
63,205,311250,Doorways: The Underworld
251,122,271640,Humanity Asset
27,252,277680,"About Love, Hate and the other ones"
637,1067,7510,X-Blades
63,41,340220,Shadows of War
130,431,286360,Shadows on the Vatican - Act I: Greed
230,129,307350,Nux
1,18,373600,Weapon of Choice
333,4280,278360,A Story About My Uncle
201,95,449630,Rage Parking Simulator 2016
140,1265,15700,Oddworld: Abe's Oddysee
42,150,356200,Keen Dreams
613,1661,262150,Vanguard Princess
163,415,363620,Tea Party Simulator 2015\u2122
12,147,341120,Glorkian Warrior: The Trials Of Glork
336,1554,284950,Pixel Puzzles: Japan
294,86,392050,Galactic Hitman
88,341,287120,Ionball 2 : Ionstorm
9,39,284200,Robot Rescue Revolution
29,204,252170,Anomaly Warzone Earth Mobile Campaign
31,224,383930,Doorways: Holy Mountains of Flesh
12325,156844,72850,The Elder Scrolls V: Skyrim
188,1290,313020,Soul Gambler
190,728,224220,Pressure
477,4594,249050,Dungeon of the Endless
1043,796,275490,Canyon Capers
999,32137,220,Half-Life 2
147,275,248470,Doorways: Prelude
361,202,344750,Deadly Profits
244,480,441870,OutDrive
30,27,422100,Heaven Island Life
51,134,416270,GooCubelets 2
158,49,424830,Bell Ringer
830,358,382240,Blood of Old
435,398,301750,RADical ROACH Deluxe Edition
1817,9948,70000,Dino D-Day
258,1201,252150,Grimm
442,1414,201570,Really Big Sky
90,616,268240,Mechanic Escape
1880,6839,224600,Defiance
180,618,234940,The 39 Steps
194,151,391740,Blaster Shooter GunGuy!
,,224420,Afterfall InSanity Extended Edition
355,1417,253900,Knights and Merchants
240,1329,283290,Nosferatu: The Wrath of Malachi
200,303,403740,GabeN: The Final Decision
264,408,321260,Wickland
76,376,257120,Not The Robots
319,145,257890,Frozen Hearth
99,187,283660,Rabbit Hole 3D: Steam Edition
